time_in_cycles,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL
147,518.67,642.07,1584.6,1405.81,14.62,21.61,553.82,2388.03,9088.24,1.3,47.47,521.9,2388.03,8170.5,8.4337,0.03,393,2388,100.0,38.83,23.3733,59
148,518.67,641.96,1583.12,1402.53,14.62,21.61,553.51,2388.04,9107.12,1.3,47.38,521.97,2388.03,8177.0,8.4445,0.03,394,2388,100.0,39.02,23.3327,58
149,518.67,642.65,1589.54,1404.25,14.62,21.61,553.93,2388.01,9099.79,1.3,47.54,521.63,2388.06,8179.76,8.4461,0.03,392,2388,100.0,38.85,23.2491,57
150,518.67,642.63,1587.16,1408.04,14.62,21.61,553.43,2388.05,9098.75,1.3,47.57,522.22,2388.06,8166.61,8.427,0.03,393,2388,100.0,39.11,23.3512,56
151,518.67,642.65,1588.76,1409.19,14.62,21.61,553.89,2388.02,9103.33,1.3,47.45,522.08,2388.06,8179.33,8.4239,0.03,393,2388,100.0,38.81,23.35,55
152,518.67,642.13,1593.14,1407.88,14.62,21.61,554.21,2388.02,9099.92,1.3,47.41,521.75,2388.0,8176.86,8.4572,0.03,394,2388,100.0,38.86,23.2574,54
153,518.67,642.67,1595.17,1412.74,14.62,21.61,554.57,2388.05,9098.24,1.3,47.48,522.16,2388.02,8175.27,8.4102,0.03,392,2388,100.0,38.99,23.3692,53
154,518.67,642.96,1589.1,1407.18,14.62,21.61,553.48,2388.05,9099.44,1.3,47.39,521.94,2388.08,8174.36,8.437,0.03,394,2388,100.0,38.85,23.3339,52
155,518.67,642.67,1595.24,1409.6,14.62,21.61,554.38,2388.0,9101.64,1.3,47.46,521.74,2388.07,8179.96,8.4328,0.03,392,2388,100.0,38.9,23.3446,51
156,518.67,642.73,1588.92,1406.64,14.62,21.61,553.55,2388.02,9104.51,1.3,47.49,521.86,2388.08,8176.29,8.4184,0.03,393,2388,100.0,39.08,23.4105,50
157,518.67,642.92,1596.61,1404.55,14.62,21.61,554.05,2388.03,9093.75,1.3,47.57,521.86,2388.02,8183.8,8.4445,0.03,392,2388,100.0,38.92,23.3563,49
158,518.67,643.13,1586.61,1403.93,14.62,21.61,553.76,2388.02,9106.52,1.3,47.61,521.97,2388.06,8179.49,8.455,0.03,393,2388,100.0,38.87,23.3396,48
159,518.67,642.69,1586.33,1409.74,14.62,21.61,554.17,2388.05,9109.29,1.3,47.46,521.91,2388.02,8185.35,8.4313,0.03,394,2388,100.0,38.81,23.3096,47
160,518.67,642.74,1596.83,1410.6,14.62,21.61,553.81,2388.07,9105.5,1.3,47.57,521.99,2388.04,8180.85,8.4341,0.03,393,2388,100.0,38.93,23.2395,46
161,518.67,642.45,1589.39,1405.73,14.62,21.61,553.12,2387.99,9110.19,1.3,47.53,522.29,2388.07,8186.55,8.4569,0.03,393,2388,100.0,38.87,23.255,45
162,518.67,642.4,1589.5,1401.84,14.62,21.61,553.53,2388.02,9108.39,1.3,47.47,521.62,2388.06,8182.32,8.4647,0.03,395,2388,100.0,38.73,23.1809,44
163,518.67,642.7,1592.7,1409.95,14.62,21.61,553.05,2388.05,9110.4,1.3,47.64,521.95,2388.04,8186.12,8.4526,0.03,393,2388,100.0,38.88,23.4006,43
164,518.67,642.03,1588.14,1409.49,14.62,21.61,553.68,2388.1,9108.64,1.3,47.7,521.78,2388.07,8184.26,8.4304,0.03,392,2388,100.0,38.86,23.2558,42
165,518.67,642.35,1590.63,1406.16,14.62,21.61,553.41,2387.98,9113.39,1.3,47.51,521.45,2388.0,8187.28,8.4535,0.03,393,2388,100.0,39.03,23.2782,41
166,518.67,642.74,1592.15,1409.86,14.62,21.61,553.18,2388.03,9111.74,1.3,47.55,522.11,2388.04,8184.2,8.4495,0.03,393,2388,100.0,38.86,23.2202,40
167,518.67,642.79,1590.08,1410.14,14.62,21.61,552.89,2388.01,9116.53,1.3,47.48,521.34,2388.1,8186.19,8.4081,0.03,393,2388,100.0,38.76,23.2521,39
168,518.67,642.33,1587.22,1413.32,14.62,21.61,553.28,2388.04,9111.4,1.3,47.54,521.66,2388.06,8190.25,8.4407,0.03,393,2388,100.0,38.66,23.2812,38
169,518.67,643.26,1595.96,1410.69,14.62,21.61,552.88,2387.98,9121.95,1.3,47.61,520.59,2388.05,8191.99,8.458,0.03,395,2388,100.0,38.96,23.3212,37
170,518.67,643.16,1594.15,1406.47,14.62,21.61,553.88,2388.07,9122.16,1.3,47.46,521.73,2388.06,8192.59,8.4982,0.03,394,2388,100.0,38.67,23.295,36
171,518.67,642.52,1585.25,1410.14,14.62,21.61,553.58,2388.05,9122.62,1.3,47.66,521.9,2388.06,8193.29,8.4461,0.03,394,2388,100.0,38.82,23.2695,35
172,518.67,642.72,1595.06,1417.48,14.62,21.61,553.29,2388.03,9130.08,1.3,47.64,521.8,2388.06,8191.52,8.4643,0.03,393,2388,100.0,38.81,23.205,34
173,518.67,642.78,1592.41,1417.48,14.62,21.61,553.26,2388.09,9126.77,1.3,47.68,521.54,2388.09,8200.35,8.4667,0.03,393,2388,100.0,38.81,23.28,33
174,518.67,643.08,1595.81,1410.33,14.62,21.61,553.28,2388.03,9125.49,1.3,47.36,521.13,2388.12,8202.42,8.4719,0.03,395,2388,100.0,38.71,23.1702,32
175,518.67,642.83,1593.54,1413.59,14.62,21.61,552.8,2388.08,9130.07,1.3,47.58,521.36,2388.1,8201.56,8.4196,0.03,392,2388,100.0,38.69,23.1853,31
176,518.67,642.4,1588.78,1409.38,14.62,21.61,553.06,2388.04,9125.7,1.3,47.54,521.28,2388.07,8193.74,8.483,0.03,395,2388,100.0,38.82,23.3295,30
177,518.67,642.84,1597.53,1413.67,14.62,21.61,552.98,2388.01,9126.17,1.3,47.58,521.37,2388.11,8200.38,8.441,0.03,395,2388,100.0,38.9,23.1707,29
178,518.67,643.44,1596.55,1407.89,14.62,21.61,553.7,2388.1,9133.44,1.3,47.53,521.38,2388.06,8200.05,8.4495,0.03,395,2388,100.0,38.78,23.1389,28
179,518.67,643.13,1594.8,1418.11,14.62,21.61,552.44,2388.05,9137.69,1.3,47.47,522.3,2388.13,8202.72,8.4509,0.03,394,2388,100.0,38.75,23.2534,27
180,518.67,642.83,1605.58,1413.3,14.62,21.61,553.9,2388.09,9137.4,1.3,47.68,521.43,2388.09,8201.98,8.4441,0.03,395,2388,100.0,38.83,23.2741,26
181,518.67,642.86,1597.43,1406.01,14.62,21.61,553.59,2388.05,9138.95,1.3,47.81,521.42,2388.05,8209.72,8.4904,0.03,394,2388,100.0,38.7,23.2389,25
182,518.67,643.03,1590.39,1413.22,14.62,21.61,552.69,2388.09,9146.03,1.3,47.63,521.37,2388.07,8211.53,8.4491,0.03,394,2388,100.0,38.58,23.2946,24
183,518.67,643.36,1588.34,1412.6,14.62,21.61,553.61,2388.1,9145.77,1.3,47.64,521.78,2388.04,8214.33,8.4718,0.03,394,2388,100.0,38.58,23.2278,23
184,518.67,642.95,1589.65,1411.51,14.62,21.61,553.17,2388.06,9145.88,1.3,47.82,521.18,2388.12,8207.51,8.4825,0.03,395,2388,100.0,38.56,23.2838,22
185,518.67,642.85,1604.42,1418.63,14.62,21.61,552.6,2388.1,9142.18,1.3,47.72,521.34,2388.14,8218.13,8.4421,0.03,395,2388,100.0,38.59,23.3277,21
186,518.67,643.28,1593.82,1415.13,14.62,21.61,553.78,2388.08,9148.56,1.3,47.7,520.69,2388.07,8211.21,8.4785,0.03,393,2388,100.0,38.72,23.2093,20
